@relation 'Projet_de_données_Éco-DataLab (3)-weka.filters.unsupervised.attribute.AddExpression-E2026-A3-Nexpression-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.RenameAttribute-find([\\s\\S]+)-replaceage-R9-weka.filters.unsupervised.attribute.AddExpression-Eifelse(A2=1|A2=3|A2=7|A2=15|A2=26|A2=38,1,ifelse(A2=2,2,ifelse(A2=4|A2=5|A2=6|A2=13,3,ifelse(A2=8|A2=10,4,ifelse(A2=9|A2=11|A2=12|A2=30|A2=31|A2=32|A2=34,5,ifelse(A2=14|A2=27,6,ifelse(A2=16|A2=17|A2=19|A2=23|A2=24|A2=33|A2=40,7,ifelse(A2=18|A2=28|A2=36|A2=37,8,ifelse(A2=20,9,ifelse(A2=21|A2=25|A2=39,10,ifelse(A2=22|A2=29|A2=35,11,12)))))))))))-Nregion-weka.filters.unsupervised.attribute.NumericToNominal-R10-weka.filters.unsupervised.attribute.RenameNominalValues-R10-N1:Auvergne-Rhone-Alpes,2:Hauts-de-France,3:Provence-Alpes-Cote-d-Azur,4:Grand-Est,5:Occitanie,6:Normandie,7:Nouvelle-Aquitaine,8:Centre-Val-de-Loire,9:Corse,10:Bourgogne-Franche-Comte,11:Bretagne,12:Autre-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.NumericToBinary-R7-weka.filters.unsupervised.attribute.AddExpression-E0.0-NA3/A1-weka.filters.unsupervised.attribute.AddExpression-EA3/A1-Nratio-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.AddExpression-E(A3 / A2) / A1-Npaiement_revenu_proportion-weka.filters.unsupervised.attribute.NumericToBinary-R4-weka.filters.unsupervised.attribute.NumericToBinary-R6-weka.filters.unsupervised.attribute.Remove-R11'

@attribute revenu numeric
@attribute duree numeric
@attribute montcred numeric
@attribute situfam_binarized {0,1}
@attribute ancienn numeric
@attribute cb_binarized {0,1}
@attribute incident_binarized {0,1}
@attribute age numeric
@attribute region {Auvergne-Rhone-Alpes,Hauts-de-France,Provence-Alpes-Cote-d-Azur,Grand-Est,Occitanie,Normandie,Nouvelle-Aquitaine,Centre-Val-de-Loire,Corse,Bourgogne-Franche-Comte,Bretagne}
@attribute ratio numeric

@data
846.223497,17,846,0,55,0,0,88,Auvergne-Rhone-Alpes,0.999736
628.276162,12,1256,0,51,1,0,85,Auvergne-Rhone-Alpes,1.999121
3302.20604,8,6604,1,50,1,0,84,Auvergne-Rhone-Alpes,1.999875
934.953478,10,934,0,57,0,0,81,Auvergne-Rhone-Alpes,0.99898
955.154674,11,955,0,55,0,0,75,Auvergne-Rhone-Alpes,0.999838
2242.116428,10,2242,1,39,1,0,72,Auvergne-Rhone-Alpes,0.999948
2151.192323,16,4302,1,51,1,0,71,Auvergne-Rhone-Alpes,1.999821
2905.077196,8,2905,1,51,1,0,70,Auvergne-Rhone-Alpes,0.999973
1393.039628,11,1393,0,39,1,0,69,Auvergne-Rhone-Alpes,0.999972
3042.584348,8,3042,1,43,1,0,66,Auvergne-Rhone-Alpes,0.999808
2141.121629,15,4282,1,43,1,0,65,Auvergne-Rhone-Alpes,1.999886
400.828244,6,801,0,43,1,0,62,Auvergne-Rhone-Alpes,1.998362
2193.36123,13,2193,1,37,1,0,61,Auvergne-Rhone-Alpes,0.999835
2352.187464,15,2352,1,32,1,0,61,Auvergne-Rhone-Alpes,0.99992
915.713634,6,915,0,31,0,0,58,Auvergne-Rhone-Alpes,0.999221
1005.278931,11,1005,0,31,1,0,58,Auvergne-Rhone-Alpes,0.999723
611.5469,13,1223,0,35,0,0,57,Auvergne-Rhone-Alpes,1.999847
2063.416311,6,4126,1,31,1,0,53,Auvergne-Rhone-Alpes,1.999596
1850.149992,13,1850,1,20,1,0,53,Auvergne-Rhone-Alpes,0.999919
1073.203706,14,2146,0,29,1,0,51,Auvergne-Rhone-Alpes,1.99962
3697.392033,7,7394,1,21,1,0,49,Auvergne-Rhone-Alpes,1.999788
1259.765015,8,2519,0,28,1,0,48,Auvergne-Rhone-Alpes,1.999579
621.919402,6,1243,0,19,1,0,46,Auvergne-Rhone-Alpes,1.998651
691.021755,9,691,0,14,0,0,45,Auvergne-Rhone-Alpes,0.999969
651.735485,8,1303,0,8,1,0,38,Auvergne-Rhone-Alpes,1.999277
3752.208332,14,7504,1,5,0,0,38,Auvergne-Rhone-Alpes,1.999889
1328.255922,9,1328,0,16,1,0,37,Auvergne-Rhone-Alpes,0.999807
